,Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
0,The Shawshank Redemption,142 min,(1994),9.3,80,2520200,28341469
1,Fight Club,139 min,(1999),8.8,66,1982088,37030102
2,Forrest Gump,142 min,(1994),8.8,82,1944924,330252182
3,Pulp Fiction,154 min,(1994),8.9,94,1942268,107928762
4,The Matrix,136 min,(1999),8.7,73,1814313,171479930
5,Seven,127 min,(1995),8.6,65,1547116,100125643
6,The Silence of the Lambs,118 min,(1991),8.6,85,1355803,130742922
7,Saving Private Ryan,169 min,(1998),8.6,91,1316036,216540909
8,Schindler's List,195 min,(1993),8.9,94,1288217,96898818
9,The Green Mile,189 min,(1999),8.6,61,1226112,136801374
10,Star Wars: Episode V - The Empire Strikes Back,124 min,(1980),8.7,82,1224593,290475067
11,Back to the Future,116 min,(1985),8.5,87,1134175,210609762
12,American Beauty,122 min,(1999),8.3,84,1116801,130096601
13,Titanic,194 min,(1997),7.8,75,1113303,659325379
14,Leon,110 min,(1994),8.5,64,1101807,19501238
15,Goodfellas,146 min,(1990),8.7,90,1090440,46836394
16,American History X,119 min,(1998),8.5,62,1080025,6719864
17,Terminator 2: Judgment Day,137 min,(1991),8.5,75,1048787,204843350
18,The Usual Suspects,106 min,(1995),8.5,77,1042967,23341568
19,The Truman Show,103 min,(1998),8.1,90,1009229,125618201
20,Star Wars: Return of the Jedi,131 min,(1983),8.3,58,1001345,309125409
21,The Lion King,88 min,(1994),8.5,88,1000977,422783777
22,Braveheart,178 min,(1995),8.3,68,1000426,75600000
23,Reservoir Dogs,99 min,(1992),8.3,79,972258,2832029
24,The Shining,146 min,(1980),8.4,66,963118,44017374
25,The Sixth Sense,107 min,(1999),8.1,64,953635,293506292
26,Toy Story,81 min,(1995),8.3,95,942577,191796233
27,Raiders of the Lost Ark,115 min,(1981),8.4,85,929024,248159971
28,Jurassic Park,127 min,(1993),8.1,68,925064,402453882
29,Good Will Hunting,126 min,(1997),8.3,70,917187,138433435
30,Die Hard,132 min,(1988),8.2,72,843299,83008852
31,The Terminator,107 min,(1984),8.0,84,828539,38400000
32,Scarface,170 min,(1983),8.3,65,792434,45598982
33,The Big Lebowski,117 min,(1998),8.1,71,776988,17498804
34,Star Wars: Episode I - The Phantom Menace,136 min,(1999),6.5,51,766129,474544677
35,Blade Runner,117 min,(1982),8.1,84,735023,32868943
36,Indiana Jones and the Last Crusade,127 min,(1989),8.2,65,726792,197171806
37,Full Metal Jacket,116 min,(1987),8.3,76,711198,46357676
38,Aliens,137 min,(1986),8.3,84,688463,85160248
39,Trainspotting,93 min,(1996),8.1,83,663824,16501785
40,Life Is Beautiful,116 min,(1997),8.6,59,663154,57598247
41,Fargo,98 min,(1996),8.1,85,652271,24611975
42,Heat,170 min,(1995),8.2,76,620053,67436818
43,Groundhog Day,101 min,(1993),8.0,72,601828,70906973
44,Twelve Monkeys,129 min,(1995),8.0,74,601636,57141459
45,"Lock, Stock and Two Smoking Barrels",107 min,(1998),8.2,66,562426,3897569
46,L.A. Confidential,138 min,(1997),8.2,90,561211,64616940
47,Toy Story 2,92 min,(1999),7.9,88,556009,245852179
48,Independence Day,145 min,(1996),7.0,59,555043,306169255
49,Men in Black,98 min,(1997),7.3,71,544029,250690539
50,Home Alone,103 min,(1990),7.6,63,542567,285761243
51,Back to the Future Part II,108 min,(1989),7.8,57,508932,118500000
52,Casino,178 min,(1995),8.2,73,495970,42438300
53,Rain Man,133 min,(1988),8.0,65,495542,178800000
54,Indiana Jones and the Temple of Doom,118 min,(1984),7.5,57,471086,179870271
55,Edward Scissorhands,105 min,(1990),7.9,74,469986,56362352
56,Dead Poets Society,128 min,(1989),8.1,79,458795,95860116
57,The Fifth Element,126 min,(1997),7.7,52,455869,63540020
58,Beauty and the Beast,84 min,(1991),8.0,95,432892,218967620
59,Back to the Future Part III,118 min,(1990),7.4,55,427960,87727583
60,The Princess Bride,98 min,(1987),8.1,77,415115,30857814
61,The Mummy,124 min,(1999),7.1,48,412815,155247825
62,Armageddon,151 min,(1998),6.7,42,412732,201573391
63,Mission: Impossible,110 min,(1996),7.1,59,407607,180981856
64,The Thing,109 min,(1982),8.1,57,400672,13782838
65,Platoon,120 min,(1986),8.1,92,400072,138530565
66,The Lost World: Jurassic Park,129 min,(1997),6.6,59,399316,229086679
67,Unforgiven,130 min,(1992),8.2,85,397346,101157447
68,American Pie,95 min,(1999),7.0,58,393859,102561004
69,Predator,107 min,(1987),7.8,45,392899,59735548
70,E.T. the Extra-Terrestrial,115 min,(1982),7.8,91,392815,435110554
