,Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
71,Aladdin,90 min,(1992),8.0,86,392249,217350219
72,Ghostbusters,105 min,(1984),7.8,71,390695,238632124
73,Amadeus,160 min,(1984),8.3,88,387223,51973029
74,Stand by Me,89 min,(1986),8.1,75,385136,52287414
75,The Godfather: Part III,162 min,(1990),7.6,60,380279,66666062
76,Die Hard: With a Vengeance,128 min,(1995),7.6,58,378306,100012499
77,The Breakfast Club,97 min,(1985),7.8,66,378231,45875171
78,The Game,129 min,(1997),7.7,61,375868,48323648
79,Princess Mononoke,134 min,(1997),8.4,76,372240,2375308
80,Dumb and Dumber,107 min,(1994),7.3,41,371216,127175354
81,The Mask,101 min,(1994),6.9,56,368787,119938730
82,Face/Off,138 min,(1997),7.2,82,364407,112225777
83,Batman,126 min,(1989),7.5,69,357290,251188924
84,The Devil's Advocate,144 min,(1997),7.5,60,353659,60984028
85,Die Hard 2,124 min,(1990),7.1,67,353104,117540947
86,Speed,116 min,(1994),7.2,78,349494,121248145
87,Sleepy Hollow,105 min,(1999),7.3,65,348159,101071502
88,Ferris Bueller's Day Off,103 min,(1986),7.8,61,341527,70136369
89,Raging Bull,129 min,(1980),8.2,89,340122,23383987
90,Home Alone 2: Lost in New York,120 min,(1992),6.8,46,339157,173585516
91,Jackie Brown,154 min,(1997),7.5,64,335793,39673162
92,Once Upon a Time in America,229 min,(1984),8.3,75,335627,5321508
93,Jumanji,104 min,(1995),7.0,39,330071,100475249
94,The Rock,136 min,(1996),7.4,58,327096,134069511
95,Being John Malkovich,113 min,(1999),7.7,90,326221,22858926
96,Eyes Wide Shut,159 min,(1999),7.4,68,323985,55691208
97,The Nightmare Before Christmas,76 min,(1993),8.0,82,322315,75082668
98,10 Things I Hate About You,97 min,(1999),7.3,70,320981,38176108
99,Total Recall,113 min,(1990),7.5,57,318871,119394840
100,My Neighbour Totoro,86 min,(1988),8.2,86,318114,1105564
101,Top Gun,110 min,(1986),6.9,50,315502,179800601
102,Scream,111 min,(1996),7.3,65,315028,103046663
103,Pretty Woman,119 min,(1990),7.1,51,309774,178406268
104,Interview with the Vampire: The Vampire Chronicles,123 min,(1994),7.5,59,309171,105264608
105,There's Something About Mary,119 min,(1998),7.1,69,303601,176484651
106,Magnolia,188 min,(1999),8.0,77,303490,22455976
107,From Dusk Till Dawn,108 min,(1996),7.2,48,302471,25753840
108,The Untouchables,119 min,(1987),7.9,79,298461,76270454
109,Liar Liar,86 min,(1997),6.9,70,296948,181410615
110,Notting Hill,124 min,(1999),7.1,68,296607,116089678
111,Donnie Brasco,127 min,(1997),7.7,76,295067,41909762
112,Gattaca,106 min,(1997),7.8,64,293449,12339633
113,Before Sunrise,101 min,(1995),8.1,77,291936,5535405
114,Ace Ventura: Pet Detective,86 min,(1994),6.9,37,291182,72217000
115,Alien³,114 min,(1992),6.4,59,290869,55473600
116,As Good as It Gets,139 min,(1997),7.7,67,290710,148478011
117,Batman Returns,126 min,(1992),7.0,68,289826,162831698
118,Con Air,115 min,(1997),6.9,52,289083,101117573
119,Beetlejuice,92 min,(1988),7.5,70,284925,73707461
120,Apollo 13,140 min,(I) (1995),7.6,77,284838,173837933
121,Starship Troopers,129 min,(1997),7.2,51,283392,54814377
122,Scent of a Woman,156 min,(1992),8.0,59,283243,63895607
123,The Fugitive,130 min,(1993),7.8,87,283106,183875760
124,A Bug's Life,95 min,(1998),7.2,77,281405,162798565
125,Mulan,88 min,(1998),7.7,71,273392,120620254
126,Fear and Loathing in Las Vegas,118 min,(1998),7.6,41,271862,10680275
127,Contact,150 min,(1997),7.5,62,266743,100920329
128,Blade,120 min,(1998),7.1,47,261220,70087718
129,Mrs. Doubtfire,125 min,(1993),7.0,53,260545,219200000
130,The Goonies,114 min,(1985),7.8,62,260437,61503218
131,Grave of the Fireflies,89 min,(1988),8.5,94,258687,none
132,Jerry Maguire,139 min,(1996),7.3,77,256009,153952592
133,Rush Hour,98 min,(1998),7.0,60,255896,141153686
134,Office Space,89 min,(1999),7.7,68,255660,10824921
135,Bad Boys,119 min,(1995),6.9,41,254678,65807024
136,Boogie Nights,155 min,(1997),7.9,85,254335,26400640
137,Dances with Wolves,181 min,(1990),8.0,72,253862,184208848
138,A Few Good Men,138 min,(1992),7.7,62,251173,141340178
139,GoldenEye,130 min,(1995),7.2,65,250951,106600000
140,The Little Mermaid,83 min,(1989),7.6,88,250898,111543479
141,True Lies,141 min,(1994),7.2,63,250422,146282411
142,Lethal Weapon,109 min,(1987),7.6,68,250082,65207127
143,Cinema Paradiso,155 min,(1988),8.5,80,249545,11990401
144,The Blair Witch Project,81 min,(1999),6.5,81,248274,140539099
145,RoboCop,102 min,(1987),7.6,67,247498,53424681
146,Hook,142 min,(1991),6.8,52,246324,119654823
147,Batman Forever,121 min,(1995),5.4,51,243873,184031112
148,Batman & Robin,125 min,(1997),3.8,28,243781,107325195
149,Das Boot,149 min,(1981),8.3,86,243511,11487676
150,First Blood,93 min,(1982),7.7,61,241695,47212904
151,Alien Resurrection,109 min,(1997),6.2,63,240295,47748610
152,Enemy of the State,132 min,(1998),7.3,67,237158,111549836
153,The Boondock Saints,108 min,(1999),7.7,44,234790,25812
154,Philadelphia,125 min,(1993),7.7,66,234712,77324422
155,The Elephant Man,124 min,(1980),8.1,78,233379,none
156,Austin Powers: International Man of Mystery,94 min,(1997),7.0,51,232832,53883989
157,Meet Joe Black,178 min,(1998),7.2,43,230111,44619100
158,What's Eating Gilbert Grape,118 min,(1993),7.7,73,228535,9170214
159,Airplane!,88 min,(1980),7.7,78,228050,83400000
160,Natural Born Killers,118 min,(1994),7.3,74,227448,50282766
161,Austin Powers: The Spy Who Shagged Me,95 min,(1999),6.6,59,226609,206040086
162,A Nightmare on Elm Street,91 min,(1984),7.5,76,225482,25504513
163,Gandhi,191 min,(1982),8.0,79,225040,52767889
164,Cube,90 min,(1997),7.2,61,223502,501818
165,Mars Attacks!,106 min,(1996),6.4,52,221049,37771017
166,Romeo + Juliet,120 min,(1996),6.7,60,221018,46351345
167,Shakespeare in Love,123 min,(1998),7.1,87,220781,100317794
168,Hercules,93 min,(1997),7.3,74,219673,99046791
169,True Romance,119 min,(1993),7.9,59,219667,12281500
170,Dirty Dancing,100 min,(I) (1987),7.0,65,219199,622968
171,Clerks,92 min,(1994),7.7,70,218010,3151130
172,Tarzan,88 min,(1999),7.3,79,216178,171091819
173,Gremlins,106 min,(1984),7.3,70,214716,148170000
174,Dogma,130 min,(1999),7.3,62,213912,30651422
175,Happy Gilmore,92 min,(1996),7.0,31,212744,38624000
176,The Karate Kid,126 min,(1984),7.3,60,212236,90815558
177,Big,104 min,(1988),7.3,73,211682,114968774
178,Sleepers,147 min,(1996),7.6,49,211552,49100000
179,Carlito's Way,144 min,(1993),7.9,65,211208,36948322
180,Ace Ventura: When Nature Calls,90 min,(1995),6.4,45,211137,108385533
181,Big Daddy,93 min,(1999),6.4,41,209947,163479795
182,Ghost,127 min,(1990),7.1,52,209373,217631306
183,When Harry Met Sally,95 min,(1989),7.6,76,209241,92823600
184,Bram Stoker's Dracula,128 min,(1992),7.4,57,208182,82522790
185,You've Got Mail,119 min,(1998),6.7,57,206356,115821495
186,Primal Fear,129 min,(1996),7.7,47,204025,56116183
187,Clueless,97 min,(1995),6.9,68,202929,56631572
188,Coming to America,117 min,(1988),7.1,47,201652,128152300
189,The Talented Mr. Ripley,139 min,(1999),7.4,76,200560,81298265
190,"South Park: Bigger, Longer & Uncut",81 min,(1999),7.7,73,200233,52037603
191,The Evil Dead,85 min,(1981),7.5,71,199348,2400000
192,Misery,107 min,(1990),7.8,75,199129,61276872
193,Rocky IV,91 min,(1985),6.9,40,198024,127873716
194,Ghostbusters II,108 min,(1989),6.6,56,197432,112494738
195,The World Is Not Enough,128 min,(1999),6.4,57,196772,126943684
196,Brazil,132 min,(1985),7.9,84,196598,9929135
197,Dark City,100 min,(1998),7.6,66,195518,14378331
198,Run Lola Run,81 min,(1998),7.7,77,195212,7267585
199,Who Framed Roger Rabbit,104 min,(1988),7.7,83,193626,156452370
200,The Blues Brothers,133 min,(1980),7.9,60,192926,57229890
201,Basic Instinct,127 min,(1992),7.0,41,191812,117727000
202,Blue Velvet,120 min,(1986),7.7,76,191769,8551228
203,The Hunt for Red October,135 min,(1990),7.6,58,191647,122012643
204,Space Jam,88 min,(1996),6.5,59,191610,90463534
205,Waterworld,135 min,(1995),6.2,56,190913,88246220
206,Tomorrow Never Dies,119 min,(1997),6.5,52,190132,125332007
207,Air Force One,124 min,(1997),6.5,61,189964,172956409
208,Twister,113 min,(I) (1996),6.4,68,189603,241721524
209,Godzilla,139 min,(I) (1998),5.4,32,189597,136314294
210,Robin Hood: Prince of Thieves,143 min,(1991),6.9,51,188156,165500000
211,Cruel Intentions,97 min,(1999),6.8,56,187303,38328567
212,Cape Fear,128 min,(1991),7.3,73,186231,79100000
213,The English Patient,162 min,(1996),7.4,87,185944,78651430
214,Stargate,116 min,(1994),7.1,42,184926,71565669
215,Rocky III,99 min,(1982),6.8,57,184061,125049125
216,The Iron Giant,86 min,(1999),8.0,85,183875,23159305
217,Spaceballs,96 min,(1987),7.1,46,183159,38119483
218,National Lampoon's Christmas Vacation,97 min,(1989),7.6,49,182661,71320000
219,The Thin Red Line,170 min,(1998),7.6,78,182623,36400491
220,Falling Down,113 min,(1993),7.6,56,182562,40903593
221,Desperado,104 min,(1995),7.2,55,180808,25625110
222,Pocahontas,81 min,(I) (1995),6.7,58,179897,141600000
223,Rushmore,93 min,(1998),7.7,86,179590,17105219
224,Ronin,122 min,(1998),7.3,67,179485,41616262
225,The Mask of Zorro,136 min,(1998),6.8,63,178534,94095523
226,Akira,124 min,(1988),8.0,67,177326,553171
227,Beverly Hills Cop,105 min,(1984),7.3,66,176867,234760478
228,The Crow,102 min,(1994),7.6,71,176830,50693162
229,Dazed and Confused,102 min,(1993),7.6,78,176619,7993039
230,"Girl, Interrupted",127 min,(1999),7.3,51,175938,28871190
231,The Ninth Gate,133 min,(1999),6.7,44,175848,18661336
232,Pi,84 min,(1998),7.4,72,175493,3216970
233,Mad Max 2,96 min,(1981),7.6,77,174981,12465371
234,Deep Impact,120 min,(1998),6.2,40,173528,140464664
235,Point Break,122 min,(1991),7.3,58,173169,43218387
236,The Abyss,140 min,(1989),7.5,62,172613,54461047
237,The Fly,96 min,(1986),7.6,79,172306,40456565
238,Ed Wood,127 min,(1994),7.8,70,172164,5887457
239,Army of Darkness,81 min,(1992),7.5,59,171157,11502976
240,Event Horizon,96 min,(1997),6.7,35,171082,26673242
241,Lethal Weapon 2,114 min,(1989),7.2,70,170585,147253986
242,Sleepless in Seattle,105 min,(1993),6.8,72,170233,126533006
243,Scream 2,120 min,(1997),6.2,63,169391,101363301
244,Demolition Man,115 min,(1993),6.7,34,169027,58055768
245,In the Name of the Father,133 min,(1993),8.1,84,168225,25010410
246,Three Kings,114 min,(1999),7.1,82,167472,60652036
247,The Insider,157 min,(1999),7.8,84,167433,28965197
248,Lethal Weapon 3,118 min,(1992),6.7,40,164169,144731527
249,The Bone Collector,118 min,(1999),6.7,45,163998,66518655
