,Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
0,The Dark Knight,152 min,(2008),9.0,84,2470523,534858444
1,Inception,148 min,(2010),8.8,74,2215371,292576195
2,The Lord of the Rings: The Fellowship of the Ring,178 min,(2001),8.8,92,1761021,315544750
3,The Lord of the Rings: The Return of the King,201 min,(2003),8.9,94,1739914,377845905
4,Interstellar,169 min,(2014),8.6,74,1666627,188020017
5,The Dark Knight Rises,164 min,(2012),8.4,78,1605164,448139099
6,The Lord of the Rings: The Two Towers,179 min,(2002),8.7,87,1572339,342551365
7,Django Unchained,165 min,(2012),8.4,81,1457235,162805434
8,Gladiator,155 min,(2000),8.5,67,1424037,187705427
9,Batman Begins,140 min,(2005),8.2,70,1382202,206852432
10,Inglourious Basterds,153 min,(2009),8.3,69,1359864,120540719
11,Avengers Assemble,143 min,(2012),8.0,69,1329338,623279547
12,The Wolf of Wall Street,180 min,(2013),8.2,75,1298667,116900694
13,The Prestige,130 min,(2006),8.5,66,1266860,53089891
14,The Departed,151 min,(2006),8.5,85,1260855,132384315
15,Shutter Island,138 min,(2010),8.2,63,1223814,128012934
16,Memento,113 min,(2000),8.4,80,1185698,25544867
17,Avatar,162 min,(2009),7.8,83,1172346,760507625
18,Joker,122 min,(2019),8.4,59,1122039,335451311
19,Guardians of the Galaxy,121 min,(2014),8.0,76,1115031,333176600
20,V for Vendetta,132 min,(2005),8.1,62,1082186,70511035
21,Kill Bill: Vol. 1,111 min,(2003),8.1,69,1063206,70099045
22,WALL·E,98 min,(2008),8.4,95,1060010,223808164
23,Pirates of the Caribbean: The Curse of the Black Pearl,143 min,(2003),8.0,63,1057221,305413918
24,Iron Man,126 min,(2008),7.9,79,1004199,318412101
25,Finding Nemo,100 min,(2003),8.1,90,998164,380843261
26,Up,96 min,(2009),8.2,88,991938,293004164
27,Avengers: Endgame,181 min,(2019),8.4,78,988758,858373000
28,Deadpool,108 min,(2016),8.0,65,970244,363070709
29,Avengers: Infinity War,149 min,(2018),8.4,68,963362,678815482
30,Eternal Sunshine of the Spotless Mind,108 min,(2004),8.3,89,962016,34400301
31,Mad Max: Fury Road,120 min,(2015),8.1,90,946049,154058340
32,Gone Girl,149 min,(2014),8.1,79,927795,167767189
33,No Country for Old Men,122 min,(2007),8.1,91,919192,74283625
34,Catch Me If You Can,141 min,(2002),8.1,75,909961,164615351
35,Star Wars: Episode VII - The Force Awakens,138 min,(2015),7.8,80,895586,936662225
36,A Beautiful Mind,135 min,(2001),8.2,72,893954,170742341
37,The Hunger Games,142 min,(2012),7.2,68,884662,408010692
38,"Monsters, Inc.",92 min,(2001),8.1,79,864655,289916256
39,Slumdog Millionaire,120 min,(2008),8.0,84,824630,141319928
40,Snatch,104 min,(2000),8.2,55,822902,30328156
41,Harry Potter and the Deathly Hallows: Part 2,130 min,(2011),8.1,85,821349,381011219
42,Untouchable,112 min,(2011),8.5,57,812031,13182281
43,The Martian,144 min,(2015),8.0,80,810485,228433663
44,Avengers: Age of Ultron,141 min,(2015),7.3,66,810208,459005868
45,Iron Man 3,130 min,(2013),7.1,62,807292,409013994
46,Requiem for a Dream,102 min,(2000),8.3,68,805854,3635482
47,Gravity,91 min,(2013),7.7,96,800774,274092705
48,Captain America: The First Avenger,124 min,(2011),6.9,66,799864,176654505
49,Thor,115 min,(2011),7.0,57,799546,181030624
50,Toy Story 3,103 min,(2010),8.2,92,797818,415004880
51,Captain America: The Winter Soldier,136 min,(2014),7.7,70,795338,259766572
52,The Hobbit: An Unexpected Journey,169 min,(2012),7.8,58,791137,303003568
53,The Pianist,150 min,(2002),8.5,85,785789,32572577
54,Whiplash,106 min,(2014),8.5,88,782297,13092000
55,Iron Man 2,124 min,(2010),7.0,57,774649,312433331
56,Donnie Darko,113 min,(2001),8.0,88,772493,1480006
57,Spider-Man,121 min,(2002),7.3,73,765353,403706375
58,300,117 min,(2006),7.6,52,764952,210614939
59,The Grand Budapest Hotel,99 min,(2014),8.1,88,761885,59100318
60,The Revenant,156 min,(2015),8.0,76,758768,183637894
61,Sin City,124 min,(2005),8.0,74,754263,74103820
62,The Hangover,100 min,(2009),7.7,73,753225,277322503
63,Gran Torino,116 min,(2008),8.1,72,750771,148095302
64,Star Wars: Episode III - Revenge of the Sith,140 min,(2005),7.5,68,748286,380262555
65,Man of Steel,143 min,(2013),7.0,55,739536,291045518
66,Black Swan,108 min,(2010),8.0,79,733743,106954678
67,Amélie,122 min,(2001),8.3,69,732713,33225499
68,The Imitation Game,114 min,(2014),8.0,71,731069,91125683
69,City of God,130 min,(2002),8.6,79,730439,7563397
70,Captain America: Civil War,147 min,(2016),7.8,75,729622,408084349
71,Harry Potter and the Philosopher's Stone,152 min,(2001),7.6,65,726348,317575550
72,Kill Bill: Vol. 2,137 min,(2004),8.0,83,724456,66208183
73,I Am Legend,101 min,(2007),7.2,65,724035,256386216
74,Spirited Away,125 min,(2001),8.6,96,710303,10055859
75,Logan,137 min,(2017),8.1,77,705697,226277068
76,How to Train Your Dragon,98 min,(2010),8.1,75,704542,217581231
77,Parasite,132 min,(2019),8.6,96,701491,53367844
78,Black Panther,134 min,(2018),7.3,88,697616,700059566
79,The Incredibles,115 min,(2004),8.0,90,691033,261441092
80,Silver Linings Playbook,122 min,(2012),7.7,81,688403,132092958
81,X-Men: Days of Future Past,132 min,(2014),7.9,75,687307,233921534
82,Pirates of the Caribbean: Dead Man's Chest,151 min,(2006),7.3,53,684648,423315812
83,Ratatouille,111 min,(2007),8.0,96,681096,206445654
84,Star Wars: Episode II - Attack of the Clones,142 min,(2002),6.5,54,675322,310675583
85,Skyfall,143 min,(2012),7.8,81,675231,304360277
86,12 Years a Slave,134 min,(2013),8.1,96,673618,56671993
87,Batman v Superman: Dawn of Justice,152 min,(2016),6.4,44,672878,330360194
88,X-Men: First Class,131 min,(2011),7.7,65,670060,146408305
89,Thor: Ragnarok,130 min,(2017),7.9,74,669997,315058289
90,Inside Out,95 min,(I) (2015),8.1,94,668109,356461711
91,Doctor Strange,115 min,(2016),7.5,72,667916,232641920
92,The Social Network,120 min,(2010),7.7,95,667036,96962694
93,Million Dollar Baby,132 min,(2004),8.1,86,665308,100492203
94,The King's Speech,118 min,(2010),8.0,88,662623,138797449
95,District 9,112 min,(2009),7.9,81,662022,115646235
96,Suicide Squad,123 min,(2016),5.9,40,660903,325100054
97,Once Upon a Time... In Hollywood,161 min,(2019),7.6,83,660474,142502728
98,Prisoners,153 min,(2013),8.1,70,655653,61002302
99,Arrival,116 min,(II) (2016),7.9,81,654308,100546139
100,Shrek,90 min,(2001),7.9,84,647299,267665011
101,Pan's Labyrinth,118 min,(2006),8.2,98,646386,37634615
102,Edge of Tomorrow,113 min,(2014),7.9,71,642474,100206256
103,Thor: The Dark World,112 min,(2013),6.8,54,642131,206362140
104,The Hunger Games: Catching Fire,146 min,(2013),7.5,76,641382,424668047
105,World War Z,116 min,(2013),7.0,63,635749,202359711
106,Casino Royale,144 min,(2006),8.0,80,633900,167445960
107,The Hobbit: The Desolation of Smaug,161 min,(2013),7.8,66,631400,258366855
108,Now You See Me,115 min,(I) (2013),7.2,50,630150,117723989
109,Kingsman: The Secret Service,129 min,(2014),7.7,60,629222,128261724
110,Guardians of the Galaxy: Vol. 2,136 min,(2017),7.6,67,628632,389813101
111,The Curious Case of Benjamin Button,166 min,(2008),7.8,70,623380,127509326
112,Ant-Man,117 min,(2015),7.3,64,623289,180202163
113,Wonder Woman,141 min,(2017),7.4,76,622589,412563408
114,Pirates of the Caribbean: At World's End,169 min,(2007),7.1,50,622339,309420425
115,The Bourne Ultimatum,115 min,(2007),8.0,85,621310,227471070
116,Transformers,144 min,(2007),7.0,61,619168,319246193
117,The Amazing Spider-Man,136 min,(2012),6.9,66,614226,262030663
118,Dunkirk,106 min,(2017),7.8,94,611645,188373161
119,Sherlock Holmes,128 min,(2009),7.6,57,610711,209028679
120,Spider-Man 2,127 min,(2004),7.4,83,609519,373585825
121,Jurassic World,124 min,(2015),7.0,59,609356,652270625
122,Birdman or (The Unexpected Virtue of Ignorance),119 min,(2014),7.7,87,608477,42340598
123,Life of Pi,127 min,(2012),7.9,79,607532,124987023
124,Drive,100 min,(I) (2011),7.8,78,604991,35061555
125,Into the Wild,148 min,(2007),8.1,73,602391,18354356
126,Frozen,102 min,(I) (2013),7.4,75,600615,400738009
127,Star Wars: Episode VIII - The Last Jedi,152 min,(2017),6.9,84,598955,620181382
128,Harry Potter and the Chamber of Secrets,161 min,(2002),7.4,63,597557,261988482
129,Argo,120 min,(2012),7.7,86,597162,136025503
130,Harry Potter and the Prisoner of Azkaban,142 min,(2004),7.9,82,595797,249358727
131,X-Men,104 min,(2000),7.4,64,594514,157299717
132,Star Trek,127 min,(2009),7.9,82,593843,257730019
133,Spider-Man: Homecoming,133 min,(2017),7.4,73,593061,334201140
134,Ted,106 min,(2012),6.9,62,592867,218815487
135,John Wick,101 min,(2014),7.4,68,591332,43037835
136,Prometheus,124 min,(I) (2012),7.0,64,591135,126477084
137,Rogue One,133 min,(2016),7.8,65,591126,532177324
138,Harry Potter and the Goblet of Fire,157 min,(2005),7.7,81,589154,290013036
139,Taken,90 min,(I) (2008),7.8,51,586254,145000989
140,Her,126 min,(2013),8.0,91,577955,25568251
141,The Matrix Reloaded,138 min,(2003),7.2,62,569802,281492479
142,Cast Away,143 min,(2000),7.8,73,563608,233632142
143,The Hateful Eight,168 min,(2015),7.8,68,563544,54117416
144,Knives Out,130 min,(2019),7.9,82,562659,165359751
145,Looper,113 min,(2012),7.4,84,558665,66486205
146,There Will Be Blood,158 min,(2007),8.2,93,555435,40222514
147,Spider-Man 3,139 min,(2007),6.2,59,552751,336530303
148,Limitless,105 min,(I) (2011),7.4,59,551909,79249455
149,Superbad,113 min,(2007),7.6,76,551597,121463226
150,Oldboy,120 min,(2003),8.4,77,550628,707481
151,Zombieland,88 min,(2009),7.6,73,550267,75590286
152,La La Land,128 min,(2016),8.0,94,550221,151101803
153,The Notebook,123 min,(2004),7.8,53,548510,81001787
154,Harry Potter and the Order of the Phoenix,138 min,(2007),7.5,71,548343,292004738
155,Ocean's Eleven,116 min,(2001),7.7,74,547495,183417150
156,Kick-Ass,117 min,(2010),7.6,66,545166,48071303
157,Get Out,104 min,(I) (2017),7.7,85,544113,176040665
158,American Psycho,101 min,(2000),7.6,64,541530,15070285
159,Shaun of the Dead,99 min,(2004),7.9,76,538049,13542874
160,21 Jump Street,109 min,(2012),7.2,69,536988,138447667
161,Deadpool 2,119 min,(2018),7.7,66,534470,324591735
162,Minority Report,145 min,(2002),7.6,80,533013,132072926
163,X-Men 2,134 min,(2003),7.4,68,532877,214949694
164,Watchmen,162 min,(2009),7.6,56,531781,107509799
165,The Bourne Identity,119 min,(2002),7.9,68,530803,121661683
166,Blood Diamond,143 min,(2006),8.0,64,526954,57366262
167,Despicable Me,95 min,(2010),7.6,72,523975,251513985
168,Blade Runner 2049,164 min,(2017),8.0,81,522427,92054159
169,"I, Robot",115 min,(2004),7.1,59,521747,144801023
170,1917,119 min,(2019),8.3,78,520580,159227644
171,Harry Potter and the Deathly Hallows: Part 1,146 min,(2010),7.7,65,515899,295983305
172,The Great Gatsby,143 min,(2013),7.2,55,514211,144840419
173,Troy,163 min,(2004),7.3,56,513614,133378256
174,Rise of the Planet of the Apes,105 min,(2011),7.5,68,513058,176760185
175,Ex Machina,108 min,(2014),7.7,78,512907,25442958
176,Harry Potter and the Half-Blood Prince,153 min,(2009),7.6,78,512622,301959197
177,Captain Marvel,123 min,(2019),6.8,64,510925,426829839
178,Zodiac,157 min,(2007),7.7,78,509275,33080084
179,Juno,96 min,(2007),7.4,81,507727,143495265
180,Nightcrawler,117 min,(2014),7.8,76,507603,32381218
181,Oblivion,124 min,(I) (2013),7.0,54,507177,89021735
182,Source Code,93 min,(2011),7.5,74,505239,54712227
183,Pirates of the Caribbean: On Stranger Tides,137 min,(2011),6.6,45,504341,241063875
184,It,135 min,(I) (2017),7.3,69,503935,327481748
185,The Hobbit: The Battle of the Five Armies,144 min,(2014),7.4,59,503084,255119788
186,Bohemian Rhapsody,134 min,(2018),7.9,49,501625,216428042
187,X-Men: The Last Stand,104 min,(2006),6.7,58,501358,234362462
188,"Crazy, Stupid, Love.",118 min,(2011),7.4,68,499736,84351197
189,500 Days of Summer,95 min,(2009),7.6,76,494424,32391374
190,Baby Driver,113 min,(2017),7.6,86,492936,107825862
191,A Quiet Place,90 min,(2018),7.5,82,492690,188024361
192,The Matrix Revolutions,129 min,(2003),6.8,47,491705,139313948
193,The Perks of Being a Wallflower,103 min,(2012),7.9,67,488963,17742948
194,Hot Fuzz,121 min,(2007),7.8,81,488450,23637265
195,X-Men Origins: Wolverine,107 min,(2009),6.6,40,487672,179883157
196,Children of Men,109 min,(2006),7.9,84,485549,35552383
197,Pacific Rim,131 min,(2013),6.9,65,485417,101802906
198,The Hangover Part II,102 min,(2011),6.5,44,483349,254464305
199,The Pursuit of Happyness,117 min,(2006),8.0,64,483174,163566459
200,The Conjuring,112 min,(2013),7.5,68,482405,137400141
201,Hacksaw Ridge,139 min,(2016),8.1,71,482179,67209615
202,"Three Billboards Outside Ebbing, Missouri",115 min,(2017),8.1,88,477020,54513740
203,Star Trek Into Darkness,132 min,(2013),7.7,72,475593,228778661
204,Mr. & Mrs. Smith,120 min,(2005),6.5,55,475045,186336279
205,Mission: Impossible - Ghost Protocol,132 min,(2011),7.4,73,474768,209397903
206,Lucy,89 min,(I) (2014),6.4,61,474208,126663600
207,The Butterfly Effect,113 min,(2004),7.6,30,472678,57938693
208,Dallas Buyers Club,117 min,(2013),8.0,79,468725,27298285
209,Love Actually,135 min,(2003),7.6,55,468215,59696144
210,Zootropolis,108 min,(2016),8.0,78,468094,341268248
211,American Hustle,138 min,(2013),7.2,90,466778,150117807
212,The Incredible Hulk,112 min,(2008),6.6,61,465653,134518390
213,Hancock,92 min,(2008),6.4,49,465365,227946274
214,American Sniper,133 min,(2014),7.3,72,464760,350126372
215,Split,117 min,(IX) (2016),7.3,62,464383,138291365
216,Ice Age,81 min,(2002),7.5,61,464162,176387405
217,The Amazing Spider-Man 2,142 min,(2014),6.6,53,463284,202853933
218,Little Miss Sunshine,101 min,(2006),7.8,80,460565,59891098
219,Rush,123 min,(I) (2013),8.1,74,459752,26947624
220,Fury,134 min,(2014),7.6,64,459515,85817906
221,Spider-Man: Into the Spider-Verse,117 min,(2018),8.4,87,457481,190241310
222,Charlie and the Chocolate Factory,115 min,(2005),6.6,72,455832,206459076
223,Warrior,140 min,(2011),8.1,71,455140,13657115
224,Coco,105 min,(I) (2017),8.4,81,451666,209726015
225,The Bourne Supremacy,108 min,(2004),7.7,73,451457,176241941
226,Spotlight,129 min,(I) (2015),8.1,93,450100,45055776
227,The Wolverine,126 min,(2013),6.7,61,449428,132556852
228,Twilight,122 min,(I) (2008),5.2,56,447849,191465414
229,The Girl with the Dragon Tattoo,158 min,(2011),7.8,71,447570,102515793
230,Kung Fu Panda,92 min,(2008),7.6,74,445518,215434591
231,Tenet,150 min,(2020),7.4,69,445414,58456624
232,Venom,112 min,(2018),6.7,35,445366,213515506
233,Divergent,139 min,(2014),6.6,48,444763,150947895
234,The Maze Runner,113 min,(2014),6.8,57,444450,102427862
235,Captain Phillips,134 min,(2013),7.8,82,443368,107100855
236,The Help,146 min,(2011),8.0,62,443100,169708112
237,Shrek 2,93 min,(2004),7.2,75,442900,436471036
238,Green Book,130 min,(2018),8.2,69,442751,85080171
239,Mystic River,138 min,(2003),7.9,84,442620,90135191
240,Indiana Jones and the Kingdom of the Crystal Skull,122 min,(2008),6.1,65,442455,317101119
241,Sherlock Holmes: A Game of Shadows,129 min,(2011),7.5,48,439553,186848418
242,The Hurt Locker,131 min,(2008),7.5,95,438948,17017811
243,Lost in Translation,102 min,(2003),7.7,89,438582,44585453
244,Fantastic Beasts and Where to Find Them,132 min,(2016),7.3,66,438031,234037575
245,Big Hero 6,102 min,(2014),7.8,74,437293,222527828
246,The Hunger Games: Mockingjay - Part 1,123 min,(2014),6.6,64,437168,337135885
247,The Terminal,128 min,(2004),7.4,55,437124,77872883
248,Horrible Bosses,98 min,(2011),6.8,57,436656,117538559
249,Elysium,109 min,(I) (2013),6.6,61,435936,93050117
