,Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
100,Solaris,167 min,(1972),8.0,90,88060,none
101,Star Trek: The Motion Picture,132 min,(1979),6.4,48,87209,82258456
102,American Graffiti,110 min,(1973),7.4,97,86917,115000000
103,The Wild Bunch,145 min,(1969),7.9,97,82428,12064472
104,The Hustler,134 min,(1961),8.0,90,80107,8284000
105,Breathless,90 min,(1960),7.8,90,78452,336705
106,The Wicker Man,88 min,(1973),7.5,87,77742,60891
107,Midnight Express,121 min,(1978),7.6,59,77628,35000000
108,Saturday Night Fever,118 min,(1977),6.8,77,77231,94213184
109,Jaws 2,116 min,(1978),5.8,51,76072,102922376
110,Harold and Maude,91 min,(1971),7.9,62,75679,none
111,Judgment at Nuremberg,179 min,(1961),8.2,60,74765,none
112,Charade,113 min,(1963),7.9,83,74271,13474588
113,The Manchurian Candidate,126 min,(1962),7.9,94,74192,none
114,Doctor Zhivago,193 min,(1965),8.0,69,74180,111722000
115,The Man Who Shot Liberty Valance,123 min,(1962),8.1,94,73573,none
116,Who's Afraid of Virginia Woolf?,131 min,(1966),8.0,75,73433,none
117,In the Heat of the Night,110 min,(1967),7.9,75,71724,24379978
118,The Outlaw Josey Wales,135 min,(1976),7.8,69,71105,31800000
119,M.A.S.H.,116 min,(1970),7.4,80,70960,81600000
120,La Dolce Vita,174 min,(1960),8.0,95,70862,19516000
121,The Dirty Dozen,150 min,(1967),7.7,73,70846,45300000
122,Badlands,94 min,(1973),7.8,93,70777,none
123,Being There,130 min,(1979),8.0,83,70640,30177511
124,Bullitt,114 min,(1968),7.4,81,66490,42300873
125,Soylent Green,97 min,(1973),7.1,66,62209,7920000
126,The Rescuers,78 min,(1977),6.9,74,61906,71215869
127,Marathon Man,125 min,(1976),7.4,64,61606,21709020
128,Blow-Up,111 min,(1966),7.6,82,60003,none
129,Murder on the Orient Express,128 min,(1974),7.3,63,60001,72034
130,Magnum Force,124 min,(1973),7.2,58,59809,4564304
131,Straw Dogs,113 min,(1971),7.5,73,58882,none
132,"Salò, or the 120 Days of Sodom",117 min,(1975),5.9,73,57980,none
133,Invasion of the Body Snatchers,115 min,(1978),7.4,75,57835,24946533
134,The Battle of Algiers,121 min,(1966),8.1,96,57813,55908
135,Where Eagles Dare,158 min,(1968),7.6,63,56589,none
136,Days of Heaven,94 min,(1978),7.8,93,56380,none
137,The Jerk,94 min,(1979),7.2,61,56243,73691419
138,Westworld,88 min,(1973),7.0,77,55994,16055700
139,"Aguirre, the Wrath of God",95 min,(1972),7.9,77,55529,none
140,A Bridge Too Far,175 min,(1977),7.4,63,55329,50800000
141,Logan's Run,119 min,(1976),6.8,53,54786,25000000
142,The Producers,88 min,(1967),7.6,96,54648,111866
143,The Longest Day,178 min,(1962),7.8,75,54455,39100000
144,Sholay,204 min,(1975),8.2,75,54263,none
145,Don't Look Now,110 min,(1973),7.2,95,53963,979337
146,What Ever Happened to Baby Jane?,134 min,(1962),8.1,75,53799,4050000
147,High Plains Drifter,105 min,(1973),7.5,69,53444,15700000
148,Three Days of the Condor,117 min,(1975),7.4,63,52887,41509797
149,Cabaret,124 min,(1972),7.8,80,52784,42765000
150,Last Tango in Paris,129 min,(1972),7.0,77,52527,36144824
151,Repulsion,105 min,(1965),7.7,91,51908,none
152,Andrei Rublev,205 min,(1966),8.1,91,51821,102021
153,Harakiri,133 min,(1962),8.6,85,51211,none
154,The Pink Panther,115 min,(1963),7.1,55,51039,10878107
155,THX 1138,86 min,(1971),6.7,75,50425,2437000
156,Le Samouraï,105 min,(1967),8.1,75,49324,39481
157,The Guns of Navarone,158 min,(1961),7.5,72,49133,28900000
158,Smokey and the Bandit,96 min,(1977),7.0,50,48762,126737428
159,Assault on Precinct 13,91 min,(1976),7.4,89,48396,none
160,Kelly's Heroes,144 min,(1970),7.6,50,48036,1378435
161,Marnie,130 min,(1964),7.1,73,47880,7000000
162,The Man Who Would Be King,129 min,(1975),7.8,91,47755,none
163,Sleuth,138 min,(1972),8.0,91,46857,4081254
164,The Message,177 min,(1976),8.2,91,46231,none
165,True Grit,128 min,(1969),7.4,83,46161,31132592
166,The Last Picture Show,118 min,(1971),8.0,93,45890,29133000
167,Beneath the Planet of the Apes,95 min,(1970),6.1,46,45637,18999718
168,Paper Moon,102 min,(1973),8.1,77,45374,30933743
169,The Italian Job,99 min,(1969),7.3,70,45093,none
170,Chitty Chitty Bang Bang,144 min,(1968),6.9,64,44559,7500000
171,Mirror,107 min,(1975),8.1,80,44355,177345
172,The Enforcer,96 min,(1976),6.7,58,44320,46200000
173,Frenzy,116 min,(1972),7.4,92,44224,12600000
174,A Hard Day's Night,87 min,(1964),7.6,96,43978,13780024
175,The Poseidon Adventure,117 min,(1972),7.1,70,43645,84563118
176,Belle de Jour,100 min,(1967),7.7,70,42993,26331
177,Fahrenheit 451,112 min,(1966),7.2,70,42790,none
178,Guess Who's Coming to Dinner,108 min,(1967),7.8,63,42769,56700000
179,The Tenant,126 min,(1976),7.6,71,42707,1924733
180,Sleeper,89 min,(1973),7.2,77,42455,2905334
181,Amarcord,123 min,(1973),7.9,77,42383,581746
182,The Towering Inferno,165 min,(1974),7.0,69,42356,116000000
183,Fiddler on the Roof,181 min,(1971),8.0,67,42286,80500000
184,The Discreet Charm of the Bourgeoisie,102 min,(1972),7.9,93,41658,198809
185,The Holy Mountain,114 min,(1973),7.9,76,41059,61001
186,High and Low,143 min,(1963),8.4,76,41016,none
187,It's a Mad Mad Mad Mad World,210 min,(1963),7.5,59,40439,46300000
188,Jules and Jim,105 min,(1962),7.8,97,40181,none
189,The Party,99 min,(1968),7.5,97,39961,none
190,The Day of the Jackal,143 min,(1973),7.8,80,39807,16056255
191,The Time Machine,103 min,(1960),7.6,67,39722,none
192,Hababam Sinifi,87 min,(1975),9.3,67,39485,none
193,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,88 min,(1972),6.8,66,39343,none
194,Drunken Master,111 min,(1978),7.5,68,39072,none
195,Black Christmas,98 min,(1974),7.2,65,39049,4053000
196,The Haunting,112 min,(1963),7.5,74,38482,2616000
197,The Amityville Horror,117 min,(1979),6.2,28,38324,86432520
198,Death Wish,93 min,(1974),7.0,51,38314,22000000
199,Zulu,138 min,(1964),7.7,77,38213,none
200,Hang 'Em High,114 min,(1968),7.0,62,37933,none
201,Up in Smoke,86 min,(1978),6.9,57,37819,44364244
202,Love and Death,85 min,(1975),7.7,89,37798,none
203,Oliver!,153 min,(1968),7.4,74,37228,16800000
204,Sanjuro,96 min,(1962),8.1,74,37120,none
205,Hair,121 min,(1979),7.6,68,36864,15284463
206,Murder by Death,95 min,(1976),7.4,62,36629,none
207,Bedknobs and Broomsticks,117 min,(1971),7.1,59,36424,18530000
208,Slap Shot,123 min,(1977),7.3,61,36401,28000000
209,Picnic at Hanging Rock,115 min,(1975),7.5,81,36330,232201
210,Deep Red,127 min,(1975),7.6,89,36323,none
211,The Last House on the Left,84 min,(1972),6.0,68,36318,3100000
212,The Andromeda Strain,131 min,(1971),7.2,60,36000,3421790
213,Manos: The Hands of Fate,70 min,(1966),1.8,60,35932,none
214,Way of the Dragon,99 min,(1972),7.3,58,35894,4061613
215,Five Easy Pieces,98 min,(1970),7.4,85,35779,19402000
216,Watership Down,91 min,(1978),7.6,64,35663,none
217,Phantasm,89 min,(1979),6.7,72,35592,11988469
218,Bananas,82 min,(1971),7.0,67,35304,11800000
219,The Muppet Movie,95 min,(1979),7.6,74,35099,76657000
220,Caligula,137 min,(1979),5.4,74,35094,23438120
221,The Many Adventures of Winnie the Pooh,74 min,(1977),7.6,74,34988,none
222,Ivan's Childhood,95 min,(1962),8.1,74,34984,none
223,Nosferatu the Vampyre,107 min,(1979),7.5,79,34960,none
224,Little Big Man,139 min,(1970),7.6,63,34519,31559552
225,Escape from the Planet of the Apes,98 min,(1971),6.3,69,34271,12300000
226,Barbarella,98 min,(1968),5.9,51,34215,none
227,Peeping Tom,101 min,(1960),7.7,51,34046,83957
228,The Odd Couple,105 min,(1968),7.7,86,34024,44527234
229,A Man for All Seasons,120 min,(1966),7.7,72,33688,28350000
230,A Fistful of Dynamite,157 min,(1971),7.6,77,33581,696690
231,Tora! Tora! Tora!,144 min,(1970),7.5,46,33512,29548291
232,The Hills Have Eyes,90 min,(1977),6.3,64,33484,25000000
233,...and justice for all.,119 min,(1979),7.4,58,33318,none
234,Love Story,100 min,(1970),6.9,84,33202,106400000
235,Anand,122 min,(1971),8.2,84,33116,none
236,1941,118 min,(1979),5.8,34,32953,31755742
237,Cries and Whispers,91 min,(1972),8.1,34,32928,1742348
238,Autumn Sonata,92 min,(1978),8.2,34,32540,none
239,Get Carter,112 min,(1971),7.4,80,32400,389650
240,The Lord of the Rings,132 min,(1978),6.2,80,32342,921769
241,Pierrot le Fou,110 min,(1965),7.6,80,32283,none
242,The Exterminating Angel,95 min,(1962),8.1,80,32274,none
243,Conquest of the Planet of the Apes,88 min,(1972),6.1,49,31932,9810000
244,King Kong,134 min,(1976),5.9,61,31846,52614445
245,Cleopatra,192 min,(1963),7.0,60,31808,57777778
246,Omen II: Damien,107 min,(1978),6.3,45,31354,3880880
247,Batman: The Movie,105 min,(1966),6.5,71,31326,none
248,The Getaway,123 min,(1972),7.4,55,31264,36734619
249,Death on the Nile,140 min,(1978),7.3,59,31210,none
