,Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
0,12 Angry Men,96 min,(1957),9.0,96,744271,4360000
1,Casablanca,102 min,(1942),8.5,100,550299,1024560
2,Rear Window,112 min,(1954),8.5,100,472429,36764313
3,It's a Wonderful Life,130 min,(1946),8.6,89,436536,none
4,Citizen Kane,119 min,(1941),8.3,100,427836,1585634
5,Vertigo,128 min,(1958),8.3,100,387905,3200000
6,Seven Samurai,207 min,(1954),8.6,98,333450,269061
7,North by Northwest,136 min,(1959),8.3,98,316628,13275000
8,Some Like It Hot,121 min,(1959),8.2,98,257828,25000000
9,Singin' in the Rain,103 min,(1952),8.3,99,232444,8819028
10,Ben-Hur,212 min,(1959),8.1,90,231427,74700000
11,The Great Dictator,125 min,(1940),8.4,90,216119,288475
12,Sunset Blvd.,110 min,(1950),8.4,90,214065,none
13,The Bridge on the River Kwai,161 min,(1957),8.1,87,213792,44908000
14,Paths of Glory,88 min,(1957),8.4,90,189856,none
15,The Seventh Seal,96 min,(1957),8.2,88,178281,none
16,Dial M for Murder,105 min,(1954),8.2,75,169266,12562
17,The Third Man,104 min,(1949),8.1,97,167216,449191
18,Rashomon,88 min,(1950),8.2,98,162426,96568
19,Bicycle Thieves,89 min,(1948),8.3,98,157961,332930
20,The Maltese Falcon,100 min,(1941),8.0,97,154991,2108060
21,Cinderella,74 min,(1950),7.3,85,154013,85000000
22,Double Indemnity,107 min,(1944),8.3,95,151860,5720000
23,On the Waterfront,108 min,(1954),8.1,91,150288,9600000
24,Sleeping Beauty,75 min,(1959),7.2,85,143698,51600000
25,Pinocchio,88 min,(1940),7.4,99,139200,84254167
26,Rope,80 min,(1948),8.0,73,138307,none
27,Bambi,70 min,(1942),7.3,91,138116,102797150
28,Alice in Wonderland,75 min,(1951),7.4,68,136423,1073014
29,Roman Holiday,118 min,(1953),8.0,78,134824,none
30,Peter Pan,77 min,(1953),7.3,76,134272,87404651
31,Rebecca,130 min,(1940),8.1,86,132834,4360000
32,Strangers on a Train,101 min,(1951),8.0,88,130730,7630000
33,Lady and the Tramp,76 min,(1955),7.3,78,130396,93600000
34,All About Eve,138 min,(1950),8.2,98,127580,10177
35,Dumbo,64 min,(1941),7.2,96,127404,1600000
36,The Treasure of the Sierra Madre,126 min,(1948),8.2,98,121282,5014000
37,Witness for the Prosecution,116 min,(1957),8.4,98,119112,8175000
38,The 400 Blows,92 min,(1959),8.1,98,113216,none
39,A Streetcar Named Desire,122 min,(1951),8.0,97,105206,8000000
40,Wild Strawberries,91 min,(1957),8.2,88,103732,none
41,Touch of Evil,95 min,(1958),8.0,99,102445,2237659
42,High Noon,85 min,(1952),8.0,89,101868,9450000
43,Notorious,102 min,(1946),8.0,100,98476,10464000
44,Fantasia,125 min,(1940),7.7,96,93166,76408097
45,The Grapes of Wrath,129 min,(1940),8.1,96,90144,55000
46,Rebel Without a Cause,111 min,(1955),7.7,89,88017,none
47,The Killing,84 min,(1956),8.0,91,86894,none
48,The Night of the Hunter,92 min,(1955),8.0,99,86675,654000
49,The Searchers,119 min,(1956),7.9,94,86275,none
50,The Big Sleep,114 min,(1946),7.9,94,83604,6540000
51,The Day the Earth Stood Still,92 min,(1951),7.7,94,80302,none
52,The African Queen,105 min,(1951),7.8,91,76850,536118
53,Ikiru,143 min,(1952),8.3,91,75067,55240
54,To Catch a Thief,106 min,(1955),7.4,82,70517,8750000
55,Arsenic and Old Lace,118 min,(1943),8.0,82,69364,none
56,The Ten Commandments,220 min,(1956),7.9,82,68082,93740000
57,The Philadelphia Story,112 min,(1940),7.9,96,67167,none
58,Les Diaboliques,117 min,(1955),8.1,96,64574,1090000
59,Anatomy of a Murder,161 min,(1959),8.0,95,64312,11900000
60,Shadow of a Doubt,108 min,(1943),7.8,94,63504,none
61,Sabrina,113 min,(1954),7.6,72,63018,none
62,The Man Who Knew Too Much,120 min,(1956),7.4,76,62455,10250000
63,The Best Years of Our Lives,170 min,(1946),8.1,93,61687,23650000
64,La Strada,108 min,(1954),8.0,93,61591,none
