Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
The Dark Knight,152,2008,9.0,8.4,2470523,534858444
Inception,148,2010,8.8,7.4,2215371,292576195
The Lord of the Rings: The Fellowship of the Ring,178,2001,8.8,9.2,1761021,315544750
The Lord of the Rings: The Return of the King,201,2003,8.9,9.4,1739914,377845905
Interstellar,169,2014,8.6,7.4,1666627,188020017
The Dark Knight Rises,164,2012,8.4,7.8,1605164,448139099
The Lord of the Rings: The Two Towers,179,2002,8.7,8.7,1572339,342551365
Django Unchained,165,2012,8.4,8.1,1457235,162805434
Gladiator,155,2000,8.5,6.7,1424037,187705427
Batman Begins,140,2005,8.2,7.0,1382202,206852432
Inglourious Basterds,153,2009,8.3,6.9,1359864,120540719
Avengers Assemble,143,2012,8.0,6.9,1329338,623279547
The Wolf of Wall Street,180,2013,8.2,7.5,1298667,116900694
The Prestige,130,2006,8.5,6.6,1266860,53089891
The Departed,151,2006,8.5,8.5,1260855,132384315
Shutter Island,138,2010,8.2,6.3,1223814,128012934
Memento,113,2000,8.4,8.0,1185698,25544867
Avatar,162,2009,7.8,8.3,1172346,760507625
Joker,122,2019,8.4,5.9,1122039,335451311
Guardians of the Galaxy,121,2014,8.0,7.6,1115031,333176600
V for Vendetta,132,2005,8.1,6.2,1082186,70511035
Kill Bill: Vol. 1,111,2003,8.1,6.9,1063206,70099045
WALL·E,98,2008,8.4,9.5,1060010,223808164
Pirates of the Caribbean: The Curse of the Black Pearl,143,2003,8.0,6.3,1057221,305413918
Iron Man,126,2008,7.9,7.9,1004199,318412101
Finding Nemo,100,2003,8.1,9.0,998164,380843261
Up,96,2009,8.2,8.8,991938,293004164
Avengers: Endgame,181,2019,8.4,7.8,988758,858373000
Deadpool,108,2016,8.0,6.5,970244,363070709
Avengers: Infinity War,149,2018,8.4,6.8,963362,678815482
Eternal Sunshine of the Spotless Mind,108,2004,8.3,8.9,962016,34400301
Mad Max: Fury Road,120,2015,8.1,9.0,946049,154058340
Gone Girl,149,2014,8.1,7.9,927795,167767189
No Country for Old Men,122,2007,8.1,9.1,919192,74283625
Catch Me If You Can,141,2002,8.1,7.5,909961,164615351
Star Wars: Episode VII - The Force Awakens,138,2015,7.8,8.0,895586,936662225
A Beautiful Mind,135,2001,8.2,7.2,893954,170742341
The Hunger Games,142,2012,7.2,6.8,884662,408010692
"Monsters, Inc.",92,2001,8.1,7.9,864655,289916256
Slumdog Millionaire,120,2008,8.0,8.4,824630,141319928
Snatch,104,2000,8.2,5.5,822902,30328156
