Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
Harry Potter and the Deathly Hallows: Part 2,130,2011,8.1,8.5,821349,381011219
Untouchable,112,2011,8.5,5.7,812031,13182281
The Martian,144,2015,8.0,8.0,810485,228433663
Avengers: Age of Ultron,141,2015,7.3,6.6,810208,459005868
Iron Man 3,130,2013,7.1,6.2,807292,409013994
Requiem for a Dream,102,2000,8.3,6.8,805854,3635482
Gravity,91,2013,7.7,9.6,800774,274092705
Captain America: The First Avenger,124,2011,6.9,6.6,799864,176654505
Thor,115,2011,7.0,5.7,799546,181030624
Toy Story 3,103,2010,8.2,9.2,797818,415004880
Captain America: The Winter Soldier,136,2014,7.7,7.0,795338,259766572
The Hobbit: An Unexpected Journey,169,2012,7.8,5.8,791137,303003568
The Pianist,150,2002,8.5,8.5,785789,32572577
Whiplash,106,2014,8.5,8.8,782297,13092000
Iron Man 2,124,2010,7.0,5.7,774649,312433331
Donnie Darko,113,2001,8.0,8.8,772493,1480006
Spider-Man,121,2002,7.3,7.3,765353,403706375
300,117,2006,7.6,5.2,764952,210614939
The Grand Budapest Hotel,99,2014,8.1,8.8,761885,59100318
The Revenant,156,2015,8.0,7.6,758768,183637894
Sin City,124,2005,8.0,7.4,754263,74103820
The Hangover,100,2009,7.7,7.3,753225,277322503
Gran Torino,116,2008,8.1,7.2,750771,148095302
Star Wars: Episode III - Revenge of the Sith,140,2005,7.5,6.8,748286,380262555
Man of Steel,143,2013,7.0,5.5,739536,291045518
Black Swan,108,2010,8.0,7.9,733743,106954678
Amélie,122,2001,8.3,6.9,732713,33225499
The Imitation Game,114,2014,8.0,7.1,731069,91125683
City of God,130,2002,8.6,7.9,730439,7563397
Captain America: Civil War,147,2016,7.8,7.5,729622,408084349
Harry Potter and the Philosopher's Stone,152,2001,7.6,6.5,726348,317575550
Kill Bill: Vol. 2,137,2004,8.0,8.3,724456,66208183
I Am Legend,101,2007,7.2,6.5,724035,256386216
Spirited Away,125,2001,8.6,9.6,710303,10055859
Logan,137,2017,8.1,7.7,705697,226277068
How to Train Your Dragon,98,2010,8.1,7.5,704542,217581231
Parasite,132,2019,8.6,9.6,701491,53367844
Black Panther,134,2018,7.3,8.8,697616,700059566
The Incredibles,115,2004,8.0,9.0,691033,261441092
Silver Linings Playbook,122,2012,7.7,8.1,688403,132092958
X-Men: Days of Future Past,132,2014,7.9,7.5,687307,233921534
Pirates of the Caribbean: Dead Man's Chest,151,2006,7.3,5.3,684648,423315812
Ratatouille,111,2007,8.0,9.6,681096,206445654
Star Wars: Episode II - Attack of the Clones,142,2002,6.5,5.4,675322,310675583
Skyfall,143,2012,7.8,8.1,675231,304360277
12 Years a Slave,134,2013,8.1,9.6,673618,56671993
Batman v Superman: Dawn of Justice,152,2016,6.4,4.4,672878,330360194
X-Men: First Class,131,2011,7.7,6.5,670060,146408305
Thor: Ragnarok,130,2017,7.9,7.4,669997,315058289
Inside Out,95,2015,8.1,9.4,668109,356461711
Doctor Strange,115,2016,7.5,7.2,667916,232641920
The Social Network,120,2010,7.7,9.5,667036,96962694
Million Dollar Baby,132,2004,8.1,8.6,665308,100492203
The King's Speech,118,2010,8.0,8.8,662623,138797449
District 9,112,2009,7.9,8.1,662022,115646235
Suicide Squad,123,2016,5.9,4.0,660903,325100054
Once Upon a Time... In Hollywood,161,2019,7.6,8.3,660474,142502728
Prisoners,153,2013,8.1,7.0,655653,61002302
Arrival,116,2016,7.9,8.1,654308,100546139
Shrek,90,2001,7.9,8.4,647299,267665011
Pan's Labyrinth,118,2006,8.2,9.8,646386,37634615
Edge of Tomorrow,113,2014,7.9,7.1,642474,100206256
Thor: The Dark World,112,2013,6.8,5.4,642131,206362140
The Hunger Games: Catching Fire,146,2013,7.5,7.6,641382,424668047
World War Z,116,2013,7.0,6.3,635749,202359711
Casino Royale,144,2006,8.0,8.0,633900,167445960
The Hobbit: The Desolation of Smaug,161,2013,7.8,6.6,631400,258366855
Now You See Me,115,2013,7.2,5.0,630150,117723989
Kingsman: The Secret Service,129,2014,7.7,6.0,629222,128261724
Guardians of the Galaxy: Vol. 2,136,2017,7.6,6.7,628632,389813101
The Curious Case of Benjamin Button,166,2008,7.8,7.0,623380,127509326
Ant-Man,117,2015,7.3,6.4,623289,180202163
Wonder Woman,141,2017,7.4,7.6,622589,412563408
Pirates of the Caribbean: At World's End,169,2007,7.1,5.0,622339,309420425
The Bourne Ultimatum,115,2007,8.0,8.5,621310,227471070
Transformers,144,2007,7.0,6.1,619168,319246193
The Amazing Spider-Man,136,2012,6.9,6.6,614226,262030663
Dunkirk,106,2017,7.8,9.4,611645,188373161
Sherlock Holmes,128,2009,7.6,5.7,610711,209028679
Spider-Man 2,127,2004,7.4,8.3,609519,373585825
Jurassic World,124,2015,7.0,5.9,609356,652270625
Birdman or (The Unexpected Virtue of Ignorance),119,2014,7.7,8.7,608477,42340598
Life of Pi,127,2012,7.9,7.9,607532,124987023
Drive,100,2011,7.8,7.8,604991,35061555
Into the Wild,148,2007,8.1,7.3,602391,18354356
Frozen,102,2013,7.4,7.5,600615,400738009
Star Wars: Episode VIII - The Last Jedi,152,2017,6.9,8.4,598955,620181382
Harry Potter and the Chamber of Secrets,161,2002,7.4,6.3,597557,261988482
Argo,120,2012,7.7,8.6,597162,136025503
Harry Potter and the Prisoner of Azkaban,142,2004,7.9,8.2,595797,249358727
X-Men,104,2000,7.4,6.4,594514,157299717
Star Trek,127,2009,7.9,8.2,593843,257730019
Spider-Man: Homecoming,133,2017,7.4,7.3,593061,334201140
Ted,106,2012,6.9,6.2,592867,218815487
John Wick,101,2014,7.4,6.8,591332,43037835
Prometheus,124,2012,7.0,6.4,591135,126477084
Rogue One,133,2016,7.8,6.5,591126,532177324
Harry Potter and the Goblet of Fire,157,2005,7.7,8.1,589154,290013036
Taken,90,2008,7.8,5.1,586254,145000989
Her,126,2013,8.0,9.1,577955,25568251
The Matrix Reloaded,138,2003,7.2,6.2,569802,281492479
Cast Away,143,2000,7.8,7.3,563608,233632142
The Hateful Eight,168,2015,7.8,6.8,563544,54117416
Knives Out,130,2019,7.9,8.2,562659,165359751
Looper,113,2012,7.4,8.4,558665,66486205
There Will Be Blood,158,2007,8.2,9.3,555435,40222514
Spider-Man 3,139,2007,6.2,5.9,552751,336530303
Limitless,105,2011,7.4,5.9,551909,79249455
Superbad,113,2007,7.6,7.6,551597,121463226
Oldboy,120,2003,8.4,7.7,550628,707481
Zombieland,88,2009,7.6,7.3,550267,75590286
La La Land,128,2016,8.0,9.4,550221,151101803
The Notebook,123,2004,7.8,5.3,548510,81001787
Harry Potter and the Order of the Phoenix,138,2007,7.5,7.1,548343,292004738
Ocean's Eleven,116,2001,7.7,7.4,547495,183417150
Kick-Ass,117,2010,7.6,6.6,545166,48071303
Get Out,104,2017,7.7,8.5,544113,176040665
American Psycho,101,2000,7.6,6.4,541530,15070285
Shaun of the Dead,99,2004,7.9,7.6,538049,13542874
21 Jump Street,109,2012,7.2,6.9,536988,138447667
Deadpool 2,119,2018,7.7,6.6,534470,324591735
Minority Report,145,2002,7.6,8.0,533013,132072926
X-Men 2,134,2003,7.4,6.8,532877,214949694
Watchmen,162,2009,7.6,5.6,531781,107509799
The Bourne Identity,119,2002,7.9,6.8,530803,121661683
Blood Diamond,143,2006,8.0,6.4,526954,57366262
Despicable Me,95,2010,7.6,7.2,523975,251513985
Blade Runner 2049,164,2017,8.0,8.1,522427,92054159
"I, Robot",115,2004,7.1,5.9,521747,144801023
1917,119,2019,8.3,7.8,520580,159227644
Harry Potter and the Deathly Hallows: Part 1,146,2010,7.7,6.5,515899,295983305
The Great Gatsby,143,2013,7.2,5.5,514211,144840419
Troy,163,2004,7.3,5.6,513614,133378256
Rise of the Planet of the Apes,105,2011,7.5,6.8,513058,176760185
Ex Machina,108,2014,7.7,7.8,512907,25442958
Harry Potter and the Half-Blood Prince,153,2009,7.6,7.8,512622,301959197
Captain Marvel,123,2019,6.8,6.4,510925,426829839
Zodiac,157,2007,7.7,7.8,509275,33080084
Juno,96,2007,7.4,8.1,507727,143495265
Nightcrawler,117,2014,7.8,7.6,507603,32381218
Oblivion,124,2013,7.0,5.4,507177,89021735
Source Code,93,2011,7.5,7.4,505239,54712227
Pirates of the Caribbean: On Stranger Tides,137,2011,6.6,4.5,504341,241063875
It,135,2017,7.3,6.9,503935,327481748
The Hobbit: The Battle of the Five Armies,144,2014,7.4,5.9,503084,255119788
Bohemian Rhapsody,134,2018,7.9,4.9,501625,216428042
X-Men: The Last Stand,104,2006,6.7,5.8,501358,234362462
"Crazy, Stupid, Love.",118,2011,7.4,6.8,499736,84351197
500 Days of Summer,95,2009,7.6,7.6,494424,32391374
Baby Driver,113,2017,7.6,8.6,492936,107825862
A Quiet Place,90,2018,7.5,8.2,492690,188024361
The Matrix Revolutions,129,2003,6.8,4.7,491705,139313948
The Perks of Being a Wallflower,103,2012,7.9,6.7,488963,17742948
Hot Fuzz,121,2007,7.8,8.1,488450,23637265
X-Men Origins: Wolverine,107,2009,6.6,4.0,487672,179883157
Children of Men,109,2006,7.9,8.4,485549,35552383
Pacific Rim,131,2013,6.9,6.5,485417,101802906
The Hangover Part II,102,2011,6.5,4.4,483349,254464305
The Pursuit of Happyness,117,2006,8.0,6.4,483174,163566459
The Conjuring,112,2013,7.5,6.8,482405,137400141
Hacksaw Ridge,139,2016,8.1,7.1,482179,67209615
"Three Billboards Outside Ebbing, Missouri",115,2017,8.1,8.8,477020,54513740
Star Trek Into Darkness,132,2013,7.7,7.2,475593,228778661
Mr. & Mrs. Smith,120,2005,6.5,5.5,475045,186336279
Mission: Impossible - Ghost Protocol,132,2011,7.4,7.3,474768,209397903
Lucy,89,2014,6.4,6.1,474208,126663600
The Butterfly Effect,113,2004,7.6,3.0,472678,57938693
Dallas Buyers Club,117,2013,8.0,7.9,468725,27298285
Love Actually,135,2003,7.6,5.5,468215,59696144
Zootropolis,108,2016,8.0,7.8,468094,341268248
American Hustle,138,2013,7.2,9.0,466778,150117807
The Incredible Hulk,112,2008,6.6,6.1,465653,134518390
Hancock,92,2008,6.4,4.9,465365,227946274
American Sniper,133,2014,7.3,7.2,464760,350126372
Split,117,2016,7.3,6.2,464383,138291365
Ice Age,81,2002,7.5,6.1,464162,176387405
The Amazing Spider-Man 2,142,2014,6.6,5.3,463284,202853933
Little Miss Sunshine,101,2006,7.8,8.0,460565,59891098
Rush,123,2013,8.1,7.4,459752,26947624
Fury,134,2014,7.6,6.4,459515,85817906
Spider-Man: Into the Spider-Verse,117,2018,8.4,8.7,457481,190241310
Charlie and the Chocolate Factory,115,2005,6.6,7.2,455832,206459076
Warrior,140,2011,8.1,7.1,455140,13657115
Coco,105,2017,8.4,8.1,451666,209726015
The Bourne Supremacy,108,2004,7.7,7.3,451457,176241941
Spotlight,129,2015,8.1,9.3,450100,45055776
The Wolverine,126,2013,6.7,6.1,449428,132556852
Twilight,122,2008,5.2,5.6,447849,191465414
The Girl with the Dragon Tattoo,158,2011,7.8,7.1,447570,102515793
Kung Fu Panda,92,2008,7.6,7.4,445518,215434591
Tenet,150,2020,7.4,6.9,445414,58456624
Venom,112,2018,6.7,3.5,445366,213515506
Divergent,139,2014,6.6,4.8,444763,150947895
The Maze Runner,113,2014,6.8,5.7,444450,102427862
Captain Phillips,134,2013,7.8,8.2,443368,107100855
The Help,146,2011,8.0,6.2,443100,169708112
Shrek 2,93,2004,7.2,7.5,442900,436471036
Green Book,130,2018,8.2,6.9,442751,85080171
Mystic River,138,2003,7.9,8.4,442620,90135191
Indiana Jones and the Kingdom of the Crystal Skull,122,2008,6.1,6.5,442455,317101119
Sherlock Holmes: A Game of Shadows,129,2011,7.5,4.8,439553,186848418
The Hurt Locker,131,2008,7.5,9.5,438948,17017811
Lost in Translation,102,2003,7.7,8.9,438582,44585453
Fantastic Beasts and Where to Find Them,132,2016,7.3,6.6,438031,234037575
Big Hero 6,102,2014,7.8,7.4,437293,222527828
The Hunger Games: Mockingjay - Part 1,123,2014,6.6,6.4,437168,337135885
The Terminal,128,2004,7.4,5.5,437124,77872883
Horrible Bosses,98,2011,6.8,5.7,436656,117538559
Elysium,109,2013,6.6,6.1,435936,93050117
