Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
Rise of the Planet of the Apes,105,2011,7.5,6.8,512993,176760185
Ex Machina,108,2014,7.7,7.8,512804,25442958
Zodiac,157,2007,7.7,7.8,509140,33080084
Juno,96,2007,7.4,8.1,507654,143495265
Nightcrawler,117,2014,7.8,7.6,507433,32381218
Source Code,93,2011,7.5,7.4,505184,54712227
Bohemian Rhapsody,134,2018,7.9,4.9,501473,216428042
"Crazy, Stupid, Love.",118,2011,7.4,6.8,499641,84351197
Casino,178,1995,8.2,7.3,495854,42438300
Rain Man,133,1988,8.0,6.5,495465,178800000
500 Days of Summer,95,2009,7.6,7.6,494334,32391374
Baby Driver,113,2017,7.6,8.6,492723,107825862
A Quiet Place,90,2018,7.5,8.2,492501,188024361
The Perks of Being a Wallflower,103,2012,7.9,6.7,488856,17742948
Children of Men,109,2006,7.9,8.4,485473,35552383
The Pursuit of Happyness,117,2006,8.0,6.4,483036,163566459
Hacksaw Ridge,139,2016,8.1,7.1,481949,67209615
"Three Billboards Outside Ebbing, Missouri",115,2017,8.1,8.8,476873,54513740
The Butterfly Effect,113,2004,7.6,3.0,472606,57938693
Edward Scissorhands,105,1990,7.9,7.4,469914,56362352
Dallas Buyers Club,117,2013,8.0,7.9,468629,27298285
Love Actually,135,2003,7.6,5.5,467848,59696144
American Hustle,138,2013,7.2,9.0,466724,150117807
Hancock,92,2008,6.4,4.9,465293,227946274
American Sniper,133,2014,7.3,7.2,464656,350126372
Little Miss Sunshine,101,2006,7.8,8.0,460499,59891098
Rush,123,2013,8.1,7.4,459654,26947624
Fury,134,2014,7.6,6.4,459416,85817906
Dead Poets Society,128,1989,8.1,7.9,458651,95860116
Warrior,140,2011,8.1,7.1,455047,13657115
Spotlight,129,2015,8.1,9.3,450004,45055776
Twilight,122,2008,5.2,5.6,447781,191465414
The Girl with the Dragon Tattoo,158,2011,7.8,7.1,447457,102515793
Captain Phillips,134,2013,7.8,8.2,443290,107100855
The Help,146,2011,8.0,6.2,443064,169708112
Mystic River,138,2003,7.9,8.4,442529,90135191
Green Book,130,2018,8.2,6.9,442523,85080171
The Hurt Locker,131,2008,7.5,9.5,438874,17017811
Lost in Translation,102,2003,7.7,8.9,438506,44585453
The Terminal,128,2004,7.4,5.5,437013,77872883
Elysium,109,2013,6.6,6.1,435893,93050117
The Theory of Everything,123,2014,7.7,7.1,430921,35893537
Big Fish,125,2003,8.0,5.8,430814,66257002
Crash,112,2004,7.7,6.6,429695,54580300
Citizen Kane,119,1941,8.3,10.0,427788,1585634
Dawn of the Planet of the Apes,130,2014,7.6,7.9,427011,208545589
Gangs of New York,167,2002,7.5,7.2,426179,77812000
The Last Samurai,154,2003,7.7,5.5,421128,111110575
Training Day,122,2001,7.7,6.9,415789,76631907
American Gangster,157,2007,7.8,7.6,412435,130164645
King Kong,187,2005,7.2,8.1,410883,218080025
In Bruges,107,2008,7.9,6.7,407913,7757130
Sicario,121,2015,7.6,8.2,405733,46889293
Unbreakable,106,2000,7.3,6.2,405036,95011339
The Big Short,130,2015,7.8,8.1,401852,70259870
Moneyball,133,2011,7.6,8.7,400158,75605492
The Shape of Water,123,2017,7.3,8.7,400144,63859435
Platoon,120,1986,8.1,9.2,399997,138530565
Room,118,2015,8.1,8.6,399410,14677674
28 Days Later,113,2002,7.6,7.3,397699,45064915
The Devil Wears Prada,109,2006,6.9,6.2,397523,124740460
Unforgiven,130,1992,8.2,8.5,397291,101157447
Amadeus,160,1984,8.3,8.8,387169,51973029
Stand by Me,89,1986,8.1,7.5,385025,52287414
Collateral,120,2004,7.5,7.1,384260,101005703
Black Hawk Down,144,2001,7.7,7.4,382272,108638745
Passengers,116,2016,7.0,4.1,380420,100014699
The Godfather: Part III,162,1990,7.6,6.0,380223,66666062
The Breakfast Club,97,1985,7.8,6.6,378173,45875171
Easy A,92,2010,7.0,7.2,377451,58401464
The Lives of Others,137,2006,8.4,8.9,377425,11286112
The Game,129,1997,7.7,6.1,375797,48323648
The Machinist,101,2004,7.7,6.1,375750,1082715
3 Idiots,170,2009,8.4,6.7,375162,6532908
The Town,125,2010,7.5,7.4,373561,92186262
The Illusionist,110,2006,7.6,6.8,365274,39868642
127 Hours,94,2010,7.5,8.2,365134,18335230
A Star Is Born,136,2018,7.6,8.8,363755,215288866
The Fault in Our Stars,126,2014,7.7,6.9,362383,124872350
The Irishman,209,2019,7.8,9.4,360693,7000000
Inside Man,129,2006,7.6,7.6,358920,88513495
Sweeney Todd: The Demon Barber of Fleet Street,116,2007,7.3,8.3,357629,52898073
Cloud Atlas,172,2012,7.4,5.5,355950,27108272
The Fighter,116,2010,7.8,7.9,355015,93617009
The Devil's Advocate,144,1997,7.5,6.0,353584,60984028
Jojo Rabbit,108,2019,7.9,5.8,352106,349555
Signs,106,2002,6.7,5.9,352084,227966634
The Aviator,170,2004,7.5,7.7,350313,102608827
Man on Fire,146,2004,7.7,4.7,350248,77911774
Le Mans '66,152,2019,8.1,8.1,349188,117624028
Moon,97,2009,7.8,6.7,349103,5009677
Boyhood,165,2014,7.9,10.0,347133,25379975
Hotel Rwanda,121,2004,8.1,7.9,346821,23530892
Snowpiercer,126,2013,7.1,8.4,346322,4563650
Downfall,156,2004,8.2,8.2,345254,5509040
Brokeback Mountain,134,2005,7.7,8.7,343285,83043761
50 First Dates,99,2004,6.8,4.8,342989,120908074
Mulholland Drive,147,2001,7.9,8.5,342295,7220243
Flight,138,2012,7.3,7.6,342115,93772375
Raging Bull,129,1980,8.2,8.9,340074,23383987
Moonrise Kingdom,94,2012,7.8,8.4,337165,45512466
Jackie Brown,154,1997,7.5,6.4,335713,39673162
Once Upon a Time in America,229,1984,8.3,7.5,335549,5321508
Due Date,95,2010,6.5,5.1,335458,100539043
Seven Samurai,207,1954,8.6,9.8,333396,269061
About Time,123,2013,7.8,5.5,329069,15322921
Up in the Air,109,2009,7.4,8.3,328914,83823381
The Deer Hunter,183,1978,8.1,8.6,328490,48979328
True Grit,110,2010,7.6,8.0,327818,171243005
Being John Malkovich,113,1999,7.7,9.0,326187,22858926
50/50,100,2011,7.6,7.2,324622,35014192
Shooter,124,2007,7.2,5.3,324230,47003582
Burn After Reading,96,2008,7.0,6.3,323899,60355347
Eyes Wide Shut,159,1999,7.4,6.8,323899,55691208
Pearl Harbor,183,2001,6.2,4.4,323631,198542554
Equilibrium,107,2002,7.4,3.3,321454,1203974
Les Misérables,158,2012,7.6,6.3,321274,148809770
10 Things I Hate About You,97,1999,7.3,7.0,320901,38176108
Click,107,2006,6.4,4.5,320132,137355633
Hugo,126,2011,7.5,8.3,316125,73864507
Top Gun,110,1986,6.9,5.0,315441,179800601
Real Steel,127,2011,7.0,5.6,315154,85468508
The Blind Side,129,2009,7.6,5.3,314750,255959475
Chinatown,130,1974,8.2,9.2,313843,8486653
The Proposal,108,2009,6.7,4.8,313743,163958031
The Hunt,115,2012,8.3,7.7,310709,687185
10 Cloverfield Lane,103,2016,7.2,7.6,310181,72082998
Fifty Shades of Grey,125,2015,4.1,4.6,309735,166167230
Interview with the Vampire: The Vampire Chronicles,123,1994,7.5,5.9,309106,105264608
Lucky Number Slevin,110,2006,7.7,5.3,307834,22494487
The Book of Eli,118,2010,6.9,5.3,307436,94835059
The Secret Life of Walter Mitty,114,2013,7.3,5.4,306935,58236838
Lord of War,122,2005,7.6,6.2,306149,24149632
Gone with the Wind,238,1939,8.1,9.7,305034,198676459
Annihilation,115,2018,6.8,7.9,304313,32732301
Magnolia,188,1999,8.0,7.7,303434,22455976
