Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
The Godfather,175,1972,9.2,10.0,1735323,134966411
Star Wars: Episode IV - A New Hope,121,1977,8.6,9.0,1296194,322740140
The Godfather: Part II,202,1974,9.0,9.0,1204159,57300000
One Flew Over the Cuckoo's Nest,133,1975,8.7,8.4,966954,112000000
Alien,117,1979,8.4,8.9,837317,78900000
A Clockwork Orange,136,1971,8.3,7.7,796652,6207725
Taxi Driver,114,1976,8.2,9.4,775865,28262574
"The Good, the Bad and the Ugly",148,1966,8.8,9.0,728851,6100000
Psycho,109,1960,8.5,9.7,641236,32000000
2001: A Space Odyssey,149,1968,8.3,8.4,639783,56954992
Apocalypse Now,147,1979,8.4,9.4,639456,83471511
Jaws,124,1975,8.0,8.7,571558,260000000
Rocky,120,1976,8.1,7.0,548592,117235247
Monty Python and the Holy Grail,91,1975,8.2,9.1,523924,1229197
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,1964,8.4,9.7,473151,275902
Life of Brian,94,1979,8.1,7.7,386607,20045115
The Exorcist,122,1973,8.0,8.1,383148,232906145
The Deer Hunter,183,1978,8.1,8.6,328529,48979328
Once Upon a Time in the West,165,1968,8.5,8.0,318500,5321508
Chinatown,130,1974,8.2,9.2,313899,8486653
To Kill a Mockingbird,129,1962,8.2,8.8,307476,0
Lawrence of Arabia,228,1962,8.3,10.0,283349,44824144
The Graduate,106,1967,8.0,8.3,265944,104945305
Halloween,91,1978,7.7,8.7,261028,47000000
Annie Hall,93,1977,8.0,9.2,260091,39200000
Grease,110,1978,7.2,7.0,258066,188755690
The Sting,129,1973,8.3,8.3,253538,159600000
Dog Day Afternoon,125,1975,8.0,8.6,248681,50000000
For a Few Dollars More,132,1965,8.2,7.4,247108,15000000
The Great Escape,172,1963,8.2,8.6,236855,12100000
The Sound of Music,172,1965,8.0,6.3,220504,163214286
Butch Cassidy and the Sundance Kid,110,1969,8.0,6.6,210938,102308889
A Fistful of Dollars,99,1964,8.0,6.5,209689,14500000
Rosemary's Baby,137,1968,8.0,9.6,207104,0
Rocky II,119,1979,7.3,6.1,202081,6390537
Mad Max,88,1979,6.9,7.3,201013,8750000
Close Encounters of the Third Kind,138,1977,7.6,9.0,195100,132088635
Willy Wonka & the Chocolate Factory,100,1971,7.8,6.7,192328,4000000
Goldfinger,110,1964,7.7,8.7,184255,51081062
The Birds,119,1963,7.7,9.0,182253,11403529
